"model","id","epoch","score","type"
"Claude Sonnet 4.5","battery_temperature_flat",2,"I","intuitive"
"Claude Sonnet 4.5","battery_temperature_flat",3,"I","intuitive"
"Claude Sonnet 4.5","chickweight_final_weight_inversion",1,"I","mocked"
"Claude Sonnet 4.5","chickweight_final_weight_inversion",2,"I","mocked"
"Claude Sonnet 4.5","chickweight_final_weight_inversion",3,"I","mocked"
"Claude Sonnet 4.5","chickweight_time_reversal",1,"C","mocked"
"Claude Sonnet 4.5","chickweight_time_reversal",2,"I","mocked"
"Claude Sonnet 4.5","chickweight_time_reversal",3,"I","mocked"
"Claude Sonnet 4.5","chickweight_time_scramble",1,"I","mocked"
"Claude Sonnet 4.5","chickweight_time_scramble",2,"I","mocked"
"Claude Sonnet 4.5","chickweight_time_scramble",3,"I","mocked"
"Claude Sonnet 4.5","cities_commute_reversal",1,"C","intuitive"
"Claude Sonnet 4.5","cities_commute_reversal",2,"C","intuitive"
"Claude Sonnet 4.5","cities_commute_reversal",3,"C","intuitive"
"Claude Sonnet 4.5","diamonds_carat_price_reversal",1,"I","mocked"
"Claude Sonnet 4.5","diamonds_carat_price_reversal",2,"I","mocked"
"Claude Sonnet 4.5","diamonds_carat_price_reversal",3,"I","mocked"
"Claude Sonnet 4.5","diamonds_color_conditional",1,"C","mocked"
"Claude Sonnet 4.5","diamonds_color_conditional",2,"C","mocked"
"Claude Sonnet 4.5","diamonds_color_conditional",3,"C","mocked"
"Claude Sonnet 4.5","doug_firs_inverted_u",1,"C","intuitive"
"Claude Sonnet 4.5","doug_firs_inverted_u",2,"C","intuitive"
"Claude Sonnet 4.5","doug_firs_inverted_u",3,"I","intuitive"
"Claude Sonnet 4.5","ecosystems_latitude_reversal",1,"I","intuitive"
"Claude Sonnet 4.5","ecosystems_latitude_reversal",2,"I","intuitive"
"Claude Sonnet 4.5","ecosystems_latitude_reversal",3,"I","intuitive"
"Claude Sonnet 4.5","elevations_discontinuity",1,"I","intuitive"
"Claude Sonnet 4.5","elevations_discontinuity",2,"I","intuitive"
"Claude Sonnet 4.5","elevations_discontinuity",3,"I","intuitive"
"Claude Sonnet 4.5","fertilizer_yield_negative",1,"C","intuitive"
"Claude Sonnet 4.5","fertilizer_yield_negative",2,"C","intuitive"
"Claude Sonnet 4.5","fertilizer_yield_negative",3,"C","intuitive"
"Claude Sonnet 4.5","iris_length_inverted",1,"I","mocked"
"Claude Sonnet 4.5","iris_length_inverted",2,"I","mocked"
"Claude Sonnet 4.5","iris_length_inverted",3,"I","mocked"
"Claude Sonnet 4.5","iris_species_swapped",1,"I","mocked"
"Claude Sonnet 4.5","iris_species_swapped",2,"I","mocked"
"Claude Sonnet 4.5","iris_species_swapped",3,"I","mocked"
"Claude Sonnet 4.5","iris_width_species_conditional",1,"I","mocked"
"Claude Sonnet 4.5","iris_width_species_conditional",2,"I","mocked"
"Claude Sonnet 4.5","iris_width_species_conditional",3,"I","mocked"
"Claude Sonnet 4.5","mtcars_am_swapped",1,"I","mocked"
"Claude Sonnet 4.5","mtcars_am_swapped",2,"I","mocked"
"Claude Sonnet 4.5","mtcars_am_swapped",3,"I","mocked"
"Claude Sonnet 4.5","mtcars_cyl_swapped",1,"I","mocked"
"Claude Sonnet 4.5","mtcars_cyl_swapped",2,"I","mocked"
"Claude Sonnet 4.5","mtcars_cyl_swapped",3,"I","mocked"
"Claude Sonnet 4.5","mtcars_hp_inverted",1,"I","mocked"
"Claude Sonnet 4.5","mtcars_hp_inverted",2,"I","mocked"
"Claude Sonnet 4.5","mtcars_hp_inverted",3,"I","mocked"
"Claude Sonnet 4.5","patients_treatment_reversal",1,"C","intuitive"
"Claude Sonnet 4.5","patients_treatment_reversal",2,"C","intuitive"
"Claude Sonnet 4.5","patients_treatment_reversal",3,"C","intuitive"
"Claude Sonnet 4.5","screen_time_threshold",1,"I","intuitive"
"Claude Sonnet 4.5","screen_time_threshold",2,"C","intuitive"
"Claude Sonnet 4.5","screen_time_threshold",3,"I","intuitive"
"Claude Sonnet 4.5","structures_material_reversal",1,"I","intuitive"
"Claude Sonnet 4.5","structures_material_reversal",2,"I","intuitive"
"Claude Sonnet 4.5","structures_material_reversal",3,"I","intuitive"
"Claude Sonnet 4.5","study_time_discontinuity",1,"I","intuitive"
"Claude Sonnet 4.5","study_time_discontinuity",2,"I","intuitive"
"Claude Sonnet 4.5","study_time_discontinuity",3,"I","intuitive"
"Claude Sonnet 4.5","traffic_speed_positive",1,"C","intuitive"
"Claude Sonnet 4.5","traffic_speed_positive",2,"C","intuitive"
"Claude Sonnet 4.5","traffic_speed_positive",3,"C","intuitive"
"Gemini Pro 2.5","antibiotics_bacteria_growth",1,"C","intuitive"
"Gemini Pro 2.5","antibiotics_bacteria_growth",2,"C","intuitive"
"Gemini Pro 2.5","antibiotics_bacteria_growth",3,"C","intuitive"
"Gemini Pro 2.5","banana_sunlight_negative",1,"I","intuitive"
"Gemini Pro 2.5","banana_sunlight_negative",2,"C","intuitive"
"Gemini Pro 2.5","banana_sunlight_negative",3,"C","intuitive"
"Gemini Pro 2.5","baseline_bimodal_clusters",1,"C","baseline"
"Gemini Pro 2.5","baseline_bimodal_clusters",2,"C","baseline"
"Gemini Pro 2.5","baseline_bimodal_clusters",3,"C","baseline"
"Gemini Pro 2.5","baseline_categorical_difference",1,"C","baseline"
"Gemini Pro 2.5","baseline_categorical_difference",2,"C","baseline"
"Gemini Pro 2.5","baseline_categorical_difference",3,"C","baseline"
"Gemini Pro 2.5","baseline_categorical_no_difference",1,"C","baseline"
"Gemini Pro 2.5","baseline_categorical_no_difference",2,"C","baseline"
"Gemini Pro 2.5","baseline_categorical_no_difference",3,"C","baseline"
"Gemini Pro 2.5","baseline_category_time_growth",1,"C","baseline"
"Gemini Pro 2.5","baseline_category_time_growth",2,"C","baseline"
"Gemini Pro 2.5","baseline_category_time_growth",3,"C","baseline"
"Gemini Pro 2.5","baseline_department_values",1,"C","baseline"
"Gemini Pro 2.5","baseline_department_values",2,"I","baseline"
"Gemini Pro 2.5","baseline_department_values",3,"C","baseline"
"Gemini Pro 2.5","baseline_negative_correlation",1,"C","baseline"
"Gemini Pro 2.5","baseline_negative_correlation",2,"C","baseline"
"Gemini Pro 2.5","baseline_negative_correlation",3,"C","baseline"
"Gemini Pro 2.5","baseline_no_correlation",1,"C","baseline"
"Gemini Pro 2.5","baseline_no_correlation",2,"C","baseline"
"Gemini Pro 2.5","baseline_no_correlation",3,"C","baseline"
"Gemini Pro 2.5","baseline_positive_correlation",1,"C","baseline"
"Gemini Pro 2.5","baseline_positive_correlation",2,"C","baseline"
"Gemini Pro 2.5","baseline_positive_correlation",3,"C","baseline"
"Gemini Pro 2.5","baseline_positive_subgroups",1,"C","baseline"
"Gemini Pro 2.5","baseline_positive_subgroups",2,"I","baseline"
"Gemini Pro 2.5","baseline_positive_subgroups",3,"C","baseline"
"Gemini Pro 2.5","baseline_product_sales",1,"C","baseline"
"Gemini Pro 2.5","baseline_product_sales",2,"I","baseline"
"Gemini Pro 2.5","baseline_product_sales",3,"C","baseline"
"Gemini Pro 2.5","baseline_quadratic",1,"I","baseline"
"Gemini Pro 2.5","baseline_quadratic",2,"C","baseline"
"Gemini Pro 2.5","baseline_quadratic",3,"C","baseline"
"Gemini Pro 2.5","baseline_temperature_energy",1,"C","baseline"
"Gemini Pro 2.5","baseline_temperature_energy",2,"C","baseline"
"Gemini Pro 2.5","baseline_temperature_energy",3,"C","baseline"
"Gemini Pro 2.5","baseline_threshold_effect",1,"I","baseline"
"Gemini Pro 2.5","baseline_threshold_effect",2,"C","baseline"
"Gemini Pro 2.5","baseline_threshold_effect",3,"I","baseline"
"Gemini Pro 2.5","battery_temperature_flat",1,"I","intuitive"
"Gemini Pro 2.5","battery_temperature_flat",2,"C","intuitive"
"Gemini Pro 2.5","battery_temperature_flat",3,"I","intuitive"
"Gemini Pro 2.5","chickweight_final_weight_inversion",1,"I","mocked"
"Gemini Pro 2.5","chickweight_final_weight_inversion",2,"I","mocked"
"Gemini Pro 2.5","chickweight_final_weight_inversion",3,"I","mocked"
"Gemini Pro 2.5","chickweight_time_reversal",1,"I","mocked"
"Gemini Pro 2.5","chickweight_time_reversal",2,"I","mocked"
"Gemini Pro 2.5","chickweight_time_reversal",3,"I","mocked"
"Gemini Pro 2.5","chickweight_time_scramble",1,"I","mocked"
"Gemini Pro 2.5","chickweight_time_scramble",2,"I","mocked"
"Gemini Pro 2.5","chickweight_time_scramble",3,"I","mocked"
"Gemini Pro 2.5","cities_commute_reversal",1,"C","intuitive"
"Gemini Pro 2.5","cities_commute_reversal",2,"C","intuitive"
"Gemini Pro 2.5","cities_commute_reversal",3,"C","intuitive"
"Gemini Pro 2.5","diamonds_carat_price_reversal",1,"I","mocked"
"Gemini Pro 2.5","diamonds_carat_price_reversal",2,"I","mocked"
"Gemini Pro 2.5","diamonds_carat_price_reversal",3,"I","mocked"
"Gemini Pro 2.5","diamonds_color_conditional",1,"C","mocked"
"Gemini Pro 2.5","diamonds_color_conditional",2,"C","mocked"
"Gemini Pro 2.5","diamonds_color_conditional",3,"C","mocked"
"Gemini Pro 2.5","doug_firs_inverted_u",1,"C","intuitive"
"Gemini Pro 2.5","doug_firs_inverted_u",2,"C","intuitive"
"Gemini Pro 2.5","doug_firs_inverted_u",3,"I","intuitive"
"Gemini Pro 2.5","ecosystems_latitude_reversal",1,"C","intuitive"
"Gemini Pro 2.5","ecosystems_latitude_reversal",2,"C","intuitive"
"Gemini Pro 2.5","ecosystems_latitude_reversal",3,"C","intuitive"
"Gemini Pro 2.5","elevations_discontinuity",1,"I","intuitive"
"Gemini Pro 2.5","elevations_discontinuity",2,"I","intuitive"
"Gemini Pro 2.5","elevations_discontinuity",3,"I","intuitive"
"Gemini Pro 2.5","fertilizer_yield_negative",1,"C","intuitive"
"Gemini Pro 2.5","fertilizer_yield_negative",2,"I","intuitive"
"Gemini Pro 2.5","fertilizer_yield_negative",3,"C","intuitive"
"Gemini Pro 2.5","iris_length_inverted",1,"I","mocked"
"Gemini Pro 2.5","iris_length_inverted",2,"I","mocked"
"Gemini Pro 2.5","iris_length_inverted",3,"I","mocked"
"Gemini Pro 2.5","iris_species_swapped",1,"I","mocked"
"Gemini Pro 2.5","iris_species_swapped",2,"I","mocked"
"Gemini Pro 2.5","iris_species_swapped",3,"I","mocked"
"Gemini Pro 2.5","iris_width_species_conditional",1,"I","mocked"
"Gemini Pro 2.5","iris_width_species_conditional",2,"I","mocked"
"Gemini Pro 2.5","iris_width_species_conditional",3,"I","mocked"
"Gemini Pro 2.5","mtcars_am_swapped",1,"I","mocked"
"Gemini Pro 2.5","mtcars_am_swapped",2,"I","mocked"
"Gemini Pro 2.5","mtcars_am_swapped",3,"I","mocked"
"Gemini Pro 2.5","mtcars_cyl_swapped",1,"I","mocked"
"Gemini Pro 2.5","mtcars_cyl_swapped",2,"I","mocked"
"Gemini Pro 2.5","mtcars_cyl_swapped",3,"I","mocked"
"Gemini Pro 2.5","mtcars_hp_inverted",1,"I","mocked"
"Gemini Pro 2.5","mtcars_hp_inverted",2,"I","mocked"
"Gemini Pro 2.5","mtcars_hp_inverted",3,"I","mocked"
"Gemini Pro 2.5","patients_treatment_reversal",1,"C","intuitive"
"Gemini Pro 2.5","patients_treatment_reversal",2,"C","intuitive"
"Gemini Pro 2.5","patients_treatment_reversal",3,"C","intuitive"
"Gemini Pro 2.5","screen_time_threshold",1,"I","intuitive"
"Gemini Pro 2.5","screen_time_threshold",2,"I","intuitive"
"Gemini Pro 2.5","screen_time_threshold",3,"I","intuitive"
"Gemini Pro 2.5","structures_material_reversal",1,"I","intuitive"
"Gemini Pro 2.5","structures_material_reversal",2,"C","intuitive"
"Gemini Pro 2.5","structures_material_reversal",3,"C","intuitive"
"Gemini Pro 2.5","study_time_discontinuity",1,"I","intuitive"
"Gemini Pro 2.5","study_time_discontinuity",2,"I","intuitive"
"Gemini Pro 2.5","study_time_discontinuity",3,"I","intuitive"
"Gemini Pro 2.5","traffic_speed_positive",1,"C","intuitive"
"Gemini Pro 2.5","traffic_speed_positive",2,"C","intuitive"
"Gemini Pro 2.5","traffic_speed_positive",3,"C","intuitive"
"GPT-5","antibiotics_bacteria_growth",1,"C","intuitive"
"GPT-5","antibiotics_bacteria_growth",2,"C","intuitive"
"GPT-5","antibiotics_bacteria_growth",3,"C","intuitive"
"GPT-5","banana_sunlight_negative",1,"C","intuitive"
"GPT-5","banana_sunlight_negative",2,"C","intuitive"
"GPT-5","banana_sunlight_negative",3,"C","intuitive"
"GPT-5","baseline_bimodal_clusters",1,"C","baseline"
"GPT-5","baseline_bimodal_clusters",2,"C","baseline"
"GPT-5","baseline_bimodal_clusters",3,"C","baseline"
"GPT-5","baseline_categorical_difference",1,"C","baseline"
"GPT-5","baseline_categorical_difference",2,"C","baseline"
"GPT-5","baseline_categorical_difference",3,"C","baseline"
"GPT-5","baseline_categorical_no_difference",1,"I","baseline"
"GPT-5","baseline_categorical_no_difference",2,"I","baseline"
"GPT-5","baseline_categorical_no_difference",3,"I","baseline"
"GPT-5","baseline_category_time_growth",1,"I","baseline"
"GPT-5","baseline_category_time_growth",2,"C","baseline"
"GPT-5","baseline_category_time_growth",3,"C","baseline"
"GPT-5","baseline_department_values",1,"C","baseline"
"GPT-5","baseline_department_values",2,"C","baseline"
"GPT-5","baseline_department_values",3,"C","baseline"
"GPT-5","baseline_negative_correlation",1,"C","baseline"
"GPT-5","baseline_negative_correlation",2,"C","baseline"
"GPT-5","baseline_negative_correlation",3,"C","baseline"
"GPT-5","baseline_no_correlation",1,"C","baseline"
"GPT-5","baseline_no_correlation",2,"C","baseline"
"GPT-5","baseline_no_correlation",3,"C","baseline"
"GPT-5","baseline_positive_correlation",1,"C","baseline"
"GPT-5","baseline_positive_correlation",2,"C","baseline"
"GPT-5","baseline_positive_correlation",3,"C","baseline"
"GPT-5","baseline_positive_subgroups",1,"C","baseline"
"GPT-5","baseline_positive_subgroups",2,"C","baseline"
"GPT-5","baseline_positive_subgroups",3,"C","baseline"
"GPT-5","baseline_product_sales",1,"C","baseline"
"GPT-5","baseline_product_sales",2,"C","baseline"
"GPT-5","baseline_product_sales",3,"C","baseline"
"GPT-5","baseline_quadratic",1,"C","baseline"
"GPT-5","baseline_quadratic",2,"I","baseline"
"GPT-5","baseline_quadratic",3,"I","baseline"
"GPT-5","baseline_temperature_energy",1,"C","baseline"
"GPT-5","baseline_temperature_energy",2,"C","baseline"
"GPT-5","baseline_temperature_energy",3,"C","baseline"
"GPT-5","baseline_threshold_effect",1,"I","baseline"
"GPT-5","baseline_threshold_effect",2,"I","baseline"
"GPT-5","baseline_threshold_effect",3,"I","baseline"
"GPT-5","battery_temperature_flat",1,"I","intuitive"
"GPT-5","battery_temperature_flat",2,"I","intuitive"
"GPT-5","battery_temperature_flat",3,"I","intuitive"
"GPT-5","chickweight_final_weight_inversion",1,"I","mocked"
"GPT-5","chickweight_final_weight_inversion",2,"I","mocked"
"GPT-5","chickweight_final_weight_inversion",3,"I","mocked"
"GPT-5","chickweight_time_reversal",1,"I","mocked"
"GPT-5","chickweight_time_reversal",2,"I","mocked"
"GPT-5","chickweight_time_reversal",3,"I","mocked"
"GPT-5","chickweight_time_scramble",1,"I","mocked"
"GPT-5","chickweight_time_scramble",2,"I","mocked"
"GPT-5","chickweight_time_scramble",3,"I","mocked"
"GPT-5","cities_commute_reversal",1,"C","intuitive"
"GPT-5","cities_commute_reversal",2,"C","intuitive"
"GPT-5","cities_commute_reversal",3,"C","intuitive"
"GPT-5","diamonds_carat_price_reversal",1,"I","mocked"
"GPT-5","diamonds_carat_price_reversal",2,"I","mocked"
"GPT-5","diamonds_carat_price_reversal",3,"I","mocked"
"GPT-5","diamonds_color_conditional",1,"I","mocked"
"GPT-5","diamonds_color_conditional",2,"C","mocked"
"GPT-5","diamonds_color_conditional",3,"C","mocked"
"GPT-5","doug_firs_inverted_u",1,"C","intuitive"
"GPT-5","doug_firs_inverted_u",2,"I","intuitive"
"GPT-5","doug_firs_inverted_u",3,"C","intuitive"
"GPT-5","ecosystems_latitude_reversal",1,"C","intuitive"
"GPT-5","ecosystems_latitude_reversal",2,"I","intuitive"
"GPT-5","ecosystems_latitude_reversal",3,"C","intuitive"
"GPT-5","elevations_discontinuity",1,"I","intuitive"
"GPT-5","elevations_discontinuity",2,"I","intuitive"
"GPT-5","elevations_discontinuity",3,"I","intuitive"
"GPT-5","fertilizer_yield_negative",1,"C","intuitive"
"GPT-5","fertilizer_yield_negative",2,"C","intuitive"
"GPT-5","fertilizer_yield_negative",3,"C","intuitive"
"GPT-5","iris_length_inverted",1,"I","mocked"
"GPT-5","iris_length_inverted",2,"I","mocked"
"GPT-5","iris_length_inverted",3,"I","mocked"
"GPT-5","iris_species_swapped",1,"I","mocked"
"GPT-5","iris_species_swapped",2,"I","mocked"
"GPT-5","iris_species_swapped",3,"I","mocked"
"GPT-5","iris_width_species_conditional",1,"I","mocked"
"GPT-5","iris_width_species_conditional",2,"I","mocked"
"GPT-5","iris_width_species_conditional",3,"I","mocked"
"GPT-5","mtcars_am_swapped",1,"I","mocked"
"GPT-5","mtcars_am_swapped",2,"I","mocked"
"GPT-5","mtcars_am_swapped",3,"I","mocked"
"GPT-5","mtcars_cyl_swapped",1,"I","mocked"
"GPT-5","mtcars_cyl_swapped",2,"I","mocked"
"GPT-5","mtcars_cyl_swapped",3,"I","mocked"
"GPT-5","mtcars_hp_inverted",1,"I","mocked"
"GPT-5","mtcars_hp_inverted",2,"I","mocked"
"GPT-5","mtcars_hp_inverted",3,"I","mocked"
"GPT-5","patients_treatment_reversal",1,"C","intuitive"
"GPT-5","patients_treatment_reversal",2,"C","intuitive"
"GPT-5","patients_treatment_reversal",3,"C","intuitive"
"GPT-5","screen_time_threshold",1,"C","intuitive"
"GPT-5","screen_time_threshold",2,"C","intuitive"
"GPT-5","screen_time_threshold",3,"C","intuitive"
"GPT-5","structures_material_reversal",1,"I","intuitive"
"GPT-5","structures_material_reversal",2,"I","intuitive"
"GPT-5","structures_material_reversal",3,"I","intuitive"
"GPT-5","study_time_discontinuity",1,"I","intuitive"
"GPT-5","study_time_discontinuity",2,"I","intuitive"
"GPT-5","study_time_discontinuity",3,"I","intuitive"
"GPT-5","traffic_speed_positive",1,"C","intuitive"
"GPT-5","traffic_speed_positive",2,"C","intuitive"
"GPT-5","traffic_speed_positive",3,"C","intuitive"
